num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;     75;  0.3811;  100.0;  100.0;  5.72e-07;
         1;  0.0000;   3;      6;  0.0560;  100.0;  100.0;  2.91e-50;
         1;  0.0000;   7; 125126;  1.7993;  100.0;  100.0;  1.41e-05;
         1;  0.0100;   1;     58;  0.1423;  100.0;  100.0;  2.76e-02;
         1;  0.0100;   3;     45;  0.1056;  100.0;  100.0;  2.76e-02;
         1;  0.0100;   7;   3751;  0.0700;  100.0;  100.0;  3.14e-02;
         1;  0.1000;   1;     23;  0.0787;  100.0;  100.0;  9.71e-02;
         1;  0.1000;   3;     18;  0.0647;  100.0;  100.0;  9.71e-02;
         1;  0.1000;   7;   3751;  0.0679;   53.6;   89.6;  2.00e-01;
         2;  0.0000;   1;    385;  0.7686;  100.0;   98.8;  1.26e-06;
         2;  0.0000;   3;     50;  0.1000;  100.0;   98.8;  1.66e-11;
         2;  0.0000;   7;   1626;  0.0292;  100.0;   99.2;  2.71e-03;
         2;  0.0100;   1;    140;  0.2924;   99.6;   98.8;  5.15e-02;
         2;  0.0100;   3;     50;  0.1158;   99.6;   98.8;  5.15e-02;
         2;  0.0100;   7;   1501;  0.0360;   95.2;   99.2;  9.03e-02;
         2;  0.1000;   1;     38;  0.1153;   95.2;   93.2;  1.31e-01;
         2;  0.1000;   3;     18;  0.0600;   95.2;   93.2;  1.31e-01;
         2;  0.1000;   7;   2876;  0.0560;   87.2;   98.8;  1.86e-01;
         3;  0.0000;   1;   1001;  1.8493;  100.0;   96.0;  1.30e-04;
         3;  0.0000;   3;    115;  0.2249;  100.0;   97.6;  9.43e-08;
         3;  0.0000;   7;   1501;  0.0354;   98.8;   98.8;  1.39e-02;
         3;  0.0100;   1;    210;  0.4177;   98.0;   97.6;  6.84e-02;
         3;  0.0100;   3;     55;  0.1270;   98.0;   97.6;  6.84e-02;
         3;  0.0100;   7;   2251;  0.0478;   94.4;   99.2;  1.01e-01;
         3;  0.1000;   1;     34;  0.1019;   97.2;   92.4;  1.62e-01;
         3;  0.1000;   3;     20;  0.0642;   97.2;   92.4;  1.62e-01;
         3;  0.1000;   7;   1501;  0.0349;   51.6;   88.4;  4.30e-01;
         4;  0.0000;   1;     59;  0.1346;  100.0;  100.0;  5.00e-07;
         4;  0.0000;   3;      5;  0.0165;  100.0;  100.0;  1.02e-08;
         4;  0.0000;   7; 125126;  1.6134;  100.0;  100.0;  1.16e-05;
         4;  0.0100;   1;     46;  0.1282;  100.0;  100.0;  2.63e-02;
         4;  0.0100;   3;     40;  0.0932;  100.0;  100.0;  2.63e-02;
         4;  0.0100;   7;   2376;  0.0484;   99.6;  100.0;  3.62e-02;
         4;  0.1000;   1;     26;  0.0886;  100.0;  100.0;  9.23e-02;
         4;  0.1000;   3;     17;  0.0574;  100.0;  100.0;  9.23e-02;
         4;  0.1000;   7;   1376;  0.0241;   93.6;   99.6;  1.74e-01;
         5;  0.0000;   1;     88;  0.1867;  100.0;  100.0;  5.50e-07;
         5;  0.0000;   3;      6;  0.0205;  100.0;  100.0;  1.52e-07;
         5;  0.0000;   7; 125126;  1.6901;  100.0;  100.0;  1.44e-05;
         5;  0.0100;   1;     94;  0.2067;  100.0;  100.0;  3.39e-02;
         5;  0.0100;   3;     47;  0.1056;  100.0;  100.0;  3.39e-02;
         5;  0.0100;   7;   1501;  0.0357;   99.6;  100.0;  5.57e-02;
         5;  0.1000;   1;     35;  0.1025;   99.6;  100.0;  1.12e-01;
