num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;    258;  7.4400;  100.0;  100.0;  1.50e-06;
         1;  0.0000;   3;    534; 11.5429;  100.0;  100.0;  5.01e-05;
         1;  0.0000;   7; 100001; 10.3120;  100.0;  100.0;  9.81e-05;
         1;  0.0100;   1;     30;  1.5335;   99.9;   99.8;  2.16e-02;
         1;  0.0100;   3;     37;  1.4401;   99.9;   99.8;  2.16e-02;
         1;  0.0100;   7;   1401;  0.4471;   99.9;   99.8;  2.16e-02;
         1;  0.1000;   1;     21;  1.2921;   98.1;   98.2;  7.11e-02;
         1;  0.1000;   3;     15;  0.9890;   98.1;   98.2;  7.11e-02;
         1;  0.1000;   7;   1401;  0.4472;   98.0;   98.0;  7.11e-02;
         2;  0.0000;   1;   1001; 26.9348;   99.8;   99.7;  1.56e-03;
         2;  0.0000;   3;   1001; 20.0219;   99.8;   99.7;  1.76e-03;
         2;  0.0000;   7;  22601;  2.5689;   99.8;   99.8;  1.83e-03;
         2;  0.0100;   1;     84;  3.0716;   99.2;   98.9;  3.96e-02;
         2;  0.0100;   3;     43;  1.5623;   99.2;   98.9;  3.96e-02;
         2;  0.0100;   7;   1201;  0.4285;   99.2;   98.9;  3.96e-02;
         2;  0.1000;   1;     22;  1.3123;   90.1;   89.5;  9.56e-02;
         2;  0.1000;   3;     16;  0.9917;   90.1;   89.5;  9.56e-02;
         2;  0.1000;   7;   3501;  0.6575;   90.1;   89.5;  9.57e-02;
         3;  0.0000;   1;   1001; 26.9882;   99.3;   99.0;  5.57e-03;
         3;  0.0000;   3;   1001; 14.4351;   94.7;   93.7;  4.44e-02;
         3;  0.0000;   7;   6501;  0.9624;   99.3;   98.9;  5.95e-03;
         3;  0.0100;   1;    112;  3.7898;   97.9;   97.5;  5.13e-02;
         3;  0.0100;   3;     55;  1.8400;   97.9;   97.5;  5.13e-02;
         3;  0.0100;   7;   1601;  0.4668;   97.9;   97.5;  5.13e-02;
         3;  0.1000;   1;     18;  1.1876;   90.2;   89.5;  1.05e-01;
         3;  0.1000;   3;     19;  1.0922;   90.2;   89.5;  1.05e-01;
         3;  0.1000;   7;   1101;  0.4171;   90.2;   89.5;  1.05e-01;
         4;  0.0000;   1;    383; 11.1035;  100.0;   99.9;  2.04e-06;
         4;  0.0000;   3;   1001; 18.5336;  100.0;  100.0;  1.34e-04;
         4;  0.0000;   7;   9201;  1.2310;  100.0;  100.0;  1.77e-04;
         4;  0.0100;   1;     35;  1.6715;   99.9;  100.0;  2.23e-02;
         4;  0.0100;   3;     41;  1.5609;   99.9;  100.0;  2.23e-02;
         4;  0.0100;   7;   1201;  0.4287;   99.9;  100.0;  2.23e-02;
         4;  0.1000;   1;     21;  1.3327;   98.9;   99.0;  7.51e-02;
         4;  0.1000;   3;     17;  1.1314;   98.9;   99.0;  7.51e-02;
         4;  0.1000;   7;   1501;  0.4617;   98.9;   98.8;  7.52e-02;
         5;  0.0000;   1;   1001; 27.4536;  100.0;   99.8;  3.81e-04;
         5;  0.0000;   3;   1001; 13.9555;   99.9;   99.8;  1.21e-03;
         5;  0.0000;   7;   7301;  1.0421;   99.9;   99.8;  8.30e-04;
         5;  0.0100;   1;     62;  2.4384;   99.7;   99.7;  2.98e-02;
         5;  0.0100;   3;     46;  1.6339;   99.7;   99.7;  2.98e-02;
         5;  0.0100;   7;   2301;  0.5397;   99.7;   99.7;  2.98e-02;
